Input Size,k,Hybrid Merge Sort Time,Merge Sort Time,Insertion Sort Time
55,80,5.1782080000000175e-05,6.867874999999968e-05,5.210082999999921e-05
55,90,5.071207999999938e-05,6.867874999999968e-05,5.210082999999921e-05
55,100,5.0759169999999856e-05,6.867874999999968e-05,5.210082999999921e-05
60,0,4.508334000000058e-05,7.560791999999927e-05,5.765125000000038e-05
60,10,4.345292000000001e-05,7.560791999999927e-05,5.765125000000038e-05
60,20,4.431458999999971e-05,7.560791999999927e-05,5.765125000000038e-05
60,30,4.2907080000000874e-05,7.560791999999927e-05,5.765125000000038e-05
60,40,4.395209000000011e-05,7.560791999999927e-05,5.765125000000038e-05
60,50,4.3553340000000994e-05,7.560791999999927e-05,5.765125000000038e-05
60,60,5.878250000000085e-05,7.560791999999927e-05,5.765125000000038e-05
60,70,5.908625000000001e-05,7.560791999999927e-05,5.765125000000038e-05
60,80,6.033291999999913e-05,7.560791999999927e-05,5.765125000000038e-05
60,90,5.761125000000034e-05,7.560791999999927e-05,5.765125000000038e-05
60,100,5.9812919999999715e-05,7.560791999999927e-05,5.765125000000038e-05
65,0,4.480499999999998e-05,8.427457999999999e-05,6.587290999999995e-05
65,10,4.56791599999995e-05,8.427457999999999e-05,6.587290999999995e-05
65,20,4.469292000000014e-05,8.427457999999999e-05,6.587290999999995e-05
65,30,4.4790829999999946e-05,8.427457999999999e-05,6.587290999999995e-05
65,40,4.57695800000002e-05,8.427457999999999e-05,6.587290999999995e-05
65,50,4.623125000000061e-05,8.427457999999999e-05,6.587290999999995e-05
65,60,4.8679160000000275e-05,8.427457999999999e-05,6.587290999999995e-05
65,70,6.517291999999953e-05,8.427457999999999e-05,6.587290999999995e-05
65,80,6.560542000000002e-05,8.427457999999999e-05,6.587290999999995e-05
65,90,6.40991599999996e-05,8.427457999999999e-05,6.587290999999995e-05
65,100,6.526458000000068e-05,8.427457999999999e-05,6.587290999999995e-05
70,0,4.987749999999958e-05,9.110750000000056e-05,7.910000000000084e-05
70,10,4.9595000000000056e-05,9.110750000000056e-05,7.910000000000084e-05
70,20,4.831583999999944e-05,9.110750000000056e-05,7.910000000000084e-05
70,30,4.886957999999941e-05,9.110750000000056e-05,7.910000000000084e-05
70,40,4.921541000000085e-05,9.110750000000056e-05,7.910000000000084e-05
70,50,4.931457999999944e-05,9.110750000000056e-05,7.910000000000084e-05
70,60,4.893749999999919e-05,9.110750000000056e-05,7.910000000000084e-05
70,70,7.99474999999994e-05,9.110750000000056e-05,7.910000000000084e-05
70,80,7.83520900000001e-05,9.110750000000056e-05,7.910000000000084e-05
70,90,7.932625000000027e-05,9.110750000000056e-05,7.910000000000084e-05
70,100,7.900833999999967e-05,9.110750000000056e-05,7.910000000000084e-05
75,0,5.540458000000026e-05,9.897625000000022e-05,8.469209000000033e-05
75,10,5.539957999999956e-05,9.897625000000022e-05,8.469209000000033e-05
75,20,5.506208999999984e-05,9.897625000000022e-05,8.469209000000033e-05
75,30,5.556875000000128e-05,9.897625000000022e-05,8.469209000000033e-05
75,40,5.5263340000000216e-05,9.897625000000022e-05,8.469209000000033e-05
75,50,5.512916999999895e-05,9.897625000000022e-05,8.469209000000033e-05
75,60,5.543540999999985e-05,9.897625000000022e-05,8.469209000000033e-05
75,70,5.513667e-05,9.897625000000022e-05,8.469209000000033e-05
75,80,8.466666999999984e-05,9.897625000000022e-05,8.469209000000033e-05
75,90,8.474875000000104e-05,9.897625000000022e-05,8.469209000000033e-05
75,100,8.529291999999967e-05,9.897625000000022e-05,8.469209000000033e-05
80,0,6.874625000000023e-05,0.00010543833000000058,0.00011225625000000017
80,10,6.802207999999866e-05,0.00010543833000000058,0.00011225625000000017
80,20,6.862166999999974e-05,0.00010543833000000058,0.00011225625000000017
80,30,6.830541000000024e-05,0.00010543833000000058,0.00011225625000000017
80,40,7.116458000000047e-05,0.00010543833000000058,0.00011225625000000017
80,50,7.011459000000108e-05,0.00010543833000000058,0.00011225625000000017
80,60,6.87170799999981e-05,0.00010543833000000058,0.00011225625000000017
80,70,7.24987499999985e-05,0.00010543833000000058,0.00011225625000000017
80,80,0.00011394582999999958,0.00010543833000000058,0.00011225625000000017
80,90,0.00011422041999999965,0.00010543833000000058,0.00011225625000000017
80,100,0.0001147545899999991,0.00010543833000000058,0.00011225625000000017
85,0,6.347791999999908e-05,0.00012017542000000158,0.00012233791000000106
85,10,6.298291999999872e-05,0.00012017542000000158,0.00012233791000000106
85,20,6.009208000000044e-05,0.00012017542000000158,0.00012233791000000106
85,30,6.196459000000098e-05,0.00012017542000000158,0.00012233791000000106
85,40,5.884583999999915e-05,0.00012017542000000158,0.00012233791000000106
85,50,5.994167000000106e-05,0.00012017542000000158,0.00012233791000000106
85,60,5.8067500000000826e-05,0.00012017542000000158,0.00012233791000000106
85,70,6.254417000000068e-05,0.00012017542000000158,0.00012233791000000106
85,80,5.8619170000000495e-05,0.00012017542000000158,0.00012233791000000106
85,90,0.00012484082999999924,0.00012017542000000158,0.00012233791000000106
85,100,0.00012566458999999864,0.00012017542000000158,0.00012233791000000106
90,0,6.465959000000021e-05,0.00012426958000000043,0.00013282624999999993
90,10,6.309582999999952e-05,0.00012426958000000043,0.00013282624999999993
90,20,6.36254100000011e-05,0.00012426958000000043,0.00013282624999999993
90,30,6.110249999999873e-05,0.00012426958000000043,0.00013282624999999993
90,40,6.395250000000185e-05,0.00012426958000000043,0.00013282624999999993
90,50,6.428416999999964e-05,0.00012426958000000043,0.00013282624999999993
90,60,6.063332999999949e-05,0.00012426958000000043,0.00013282624999999993
90,70,6.277624999999843e-05,0.00012426958000000043,0.00013282624999999993
90,80,6.247791000000058e-05,0.00012426958000000043,0.00013282624999999993
90,90,0.0001349320899999995,0.00012426958000000043,0.00013282624999999993
90,100,0.00013231707999999953,0.00012426958000000043,0.00013282624999999993
95,0,7.027084000000184e-05,0.00013247124999999916,0.00015673833000000138
95,10,6.703708000000086e-05,0.00013247124999999916,0.00015673833000000138
95,20,6.95920800000005e-05,0.00013247124999999916,0.00015673833000000138
95,30,6.991874999999981e-05,0.00013247124999999916,0.00015673833000000138
95,40,6.876542000000096e-05,0.00013247124999999916,0.00015673833000000138
95,50,6.957834000000052e-05,0.00013247124999999916,0.00015673833000000138
95,60,6.690207999999975e-05,0.00013247124999999916,0.00015673833000000138
95,70,7.020833000000115e-05,0.00013247124999999916,0.00015673833000000138
95,80,6.874792000000074e-05,0.00013247124999999916,0.00015673833000000138
95,90,6.91887499999999e-05,0.00013247124999999916,0.00015673833000000138
95,100,0.00015656333000000134,0.00013247124999999916,0.00015673833000000138
100,0,6.928416000000048e-05,0.00013935499999999878,0.00015711625000000006
100,10,6.870417000000017e-05,0.00013935499999999878,0.00015711625000000006
100,20,6.862915999999997e-05,0.00013935499999999878,0.00015711625000000006
100,30,6.850916999999957e-05,0.00013935499999999878,0.00015711625000000006
100,40,6.711750000000016e-05,0.00013935499999999878,0.00015711625000000006
100,50,6.965290999999985e-05,0.00013935499999999878,0.00015711625000000006
100,60,6.799959000000077e-05,0.00013935499999999878,0.00015711625000000006
100,70,6.920374999999979e-05,0.00013935499999999878,0.00015711625000000006
100,80,6.898749999999953e-05,0.00013935499999999878,0.00015711625000000006
100,90,6.677833000000133e-05,0.00013935499999999878,0.00015711625000000006
100,100,0.00016103750000000084,0.00013935499999999878,0.00015711625000000006
105,0,8.838624999999877e-05,0.00014690791999999897,0.0001884766700000018
105,10,8.486457999999919e-05,0.00014690791999999897,0.0001884766700000018
105,20,8.771792000000111e-05,0.00014690791999999897,0.0001884766700000018
105,30,8.518333000000044e-05,0.00014690791999999897,0.0001884766700000018
105,40,8.765624999999888e-05,0.00014690791999999897,0.0001884766700000018
105,50,8.785250000000078e-05,0.00014690791999999897,0.0001884766700000018
105,60,8.516624999999944e-05,0.00014690791999999897,0.0001884766700000018
105,70,8.505458000000132e-05,0.00014690791999999897,0.0001884766700000018
105,80,8.681916999999872e-05,0.00014690791999999897,0.0001884766700000018
105,90,8.65708300000012e-05,0.00014690791999999897,0.0001884766700000018
105,100,8.62970900000004e-05,0.00014690791999999897,0.0001884766700000018
110,0,8.174041999999825e-05,0.0001541508299999994,0.00018430291000000044
110,10,8.166292000000075e-05,0.0001541508299999994,0.00018430291000000044
110,20,8.165167000000029e-05,0.0001541508299999994,0.00018430291000000044
110,30,8.16608299999988e-05,0.0001541508299999994,0.00018430291000000044
110,40,8.131208e-05,0.0001541508299999994,0.00018430291000000044
110,50,8.13395799999994e-05,0.0001541508299999994,0.00018430291000000044
110,60,8.161540999999994e-05,0.0001541508299999994,0.00018430291000000044
110,70,8.235625000000191e-05,0.0001541508299999994,0.00018430291000000044
110,80,8.116707999999973e-05,0.0001541508299999994,0.00018430291000000044
110,90,8.180499999999923e-05,0.0001541508299999994,0.00018430291000000044
110,100,8.146959000000065e-05,0.0001541508299999994,0.00018430291000000044
115,0,9.358584000000114e-05,0.00016328249999999933,0.00023467374999999846
115,10,9.656749999999991e-05,0.00016328249999999933,0.00023467374999999846
115,20,9.309457999999938e-05,0.00016328249999999933,0.00023467374999999846
115,30,9.598165999999964e-05,0.00016328249999999933,0.00023467374999999846
115,40,9.316749999999984e-05,0.00016328249999999933,0.00023467374999999846
115,50,9.544500000000067e-05,0.00016328249999999933,0.00023467374999999846
115,60,9.538667000000167e-05,0.00016328249999999933,0.00023467374999999846
115,70,9.344666000000057e-05,0.00016328249999999933,0.00023467374999999846
115,80,9.783375000000039e-05,0.00016328249999999933,0.00023467374999999846
115,90,9.624833000000165e-05,0.00016328249999999933,0.00023467374999999846
115,100,9.646125000000172e-05,0.00016328249999999933,0.00023467374999999846
120,0,9.631166999999774e-05,0.00016936583000000117,0.00023178375000000085
120,10,9.42799999999977e-05,0.00016936583000000117,0.00023178375000000085
120,20,9.398000000000018e-05,0.00016936583000000117,0.00023178375000000085
120,30,9.650499999999784e-05,0.00016936583000000117,0.00023178375000000085
120,40,9.379833999999754e-05,0.00016936583000000117,0.00023178375000000085
120,50,9.414458000000181e-05,0.00016936583000000117,0.00023178375000000085
120,60,9.510665999999723e-05,0.00016936583000000117,0.00023178375000000085
120,70,9.616416999999711e-05,0.00016936583000000117,0.00023178375000000085
120,80,9.532167000000147e-05,0.00016936583000000117,0.00023178375000000085
120,90,9.382334000000103e-05,0.00016936583000000117,0.00023178375000000085
120,100,9.638625000000012e-05,0.00016936583000000117,0.00023178375000000085
125,0,0.00010139708000000081,0.00017485375000000135,0.0002524012499999984
125,10,9.964624999999838e-05,0.00017485375000000135,0.0002524012499999984
125,20,0.0001066595899999978,0.00017485375000000135,0.0002524012499999984
125,30,0.00010043332999999599,0.00017485375000000135,0.0002524012499999984
125,40,9.94512500000022e-05,0.00017485375000000135,0.0002524012499999984
125,50,9.993790999999863e-05,0.00017485375000000135,0.0002524012499999984
125,60,9.958375000000074e-05,0.00017485375000000135,0.0002524012499999984
125,70,9.961333000000128e-05,0.00017485375000000135,0.0002524012499999984
125,80,9.950374999999845e-05,0.00017485375000000135,0.0002524012499999984
125,90,9.903749999999878e-05,0.00017485375000000135,0.0002524012499999984
125,100,9.941874999999989e-05,0.00017485375000000135,0.0002524012499999984
130,0,0.00011005500000000002,0.00018147667000000033,0.0002633399999999986
130,10,0.00010986375000000325,0.00018147667000000033,0.0002633399999999986
130,20,0.00011052209000000256,0.00018147667000000033,0.0002633399999999986
130,30,0.00011581624999999818,0.00018147667000000033,0.0002633399999999986
130,40,0.0001107641699999995,0.00018147667000000033,0.0002633399999999986
130,50,0.00011044249999999866,0.00018147667000000033,0.0002633399999999986
130,60,0.00011013000000000162,0.00018147667000000033,0.0002633399999999986
130,70,0.00011129374999999885,0.00018147667000000033,0.0002633399999999986
130,80,0.00011036708000000228,0.00018147667000000033,0.0002633399999999986
130,90,0.00011069540999999905,0.00018147667000000033,0.0002633399999999986
130,100,0.00011074290999999902,0.00018147667000000033,0.0002633399999999986
135,0,0.00011787459000000223,0.00019285958999999851,0.0002885250000000017
135,10,0.00011842249999999944,0.00019285958999999851,0.0002885250000000017
135,20,0.0001202879099999965,0.00019285958999999851,0.0002885250000000017
135,30,0.0001253424999999986,0.00019285958999999851,0.0002885250000000017
135,40,0.00012007166999999707,0.00019285958999999851,0.0002885250000000017
135,50,0.00012108709000000051,0.00019285958999999851,0.0002885250000000017
135,60,0.00012187500000000018,0.00019285958999999851,0.0002885250000000017
135,70,0.00012108165999999976,0.00019285958999999851,0.0002885250000000017
135,80,0.0001204529100000018,0.00019285958999999851,0.0002885250000000017
135,90,0.00012030124999999892,0.00019285958999999851,0.0002885250000000017
135,100,0.00012228166999999956,0.00019285958999999851,0.0002885250000000017
140,0,0.00012667208999999957,0.00020643666000000227,0.0003106175000000011
140,10,0.00012509957999999876,0.00020643666000000227,0.0003106175000000011
140,20,0.0001247941699999977,0.00020643666000000227,0.0003106175000000011
140,30,0.00012436375000000056,0.00020643666000000227,0.0003106175000000011
140,40,0.0001236808300000014,0.00020643666000000227,0.0003106175000000011
140,50,0.00012447707999999836,0.00020643666000000227,0.0003106175000000011
140,60,0.00012356749999999916,0.00020643666000000227,0.0003106175000000011
140,70,0.00012398124999999817,0.00020643666000000227,0.0003106175000000011
140,80,0.0001245200000000013,0.00020643666000000227,0.0003106175000000011
140,90,0.00012363582999999956,0.00020643666000000227,0.0003106175000000011
140,100,0.00012386832999999875,0.00020643666000000227,0.0003106175000000011
145,0,0.00012512957999999852,0.00020677291000000152,0.0003383183300000026
145,10,0.0001284508399999984,0.00020677291000000152,0.0003383183300000026
145,20,0.00012582459000000325,0.00020677291000000152,0.0003383183300000026
145,30,0.00012593583999999768,0.00020677291000000152,0.0003383183300000026
145,40,0.00012527625000000153,0.00020677291000000152,0.0003383183300000026
145,50,0.00012592624999999914,0.00020677291000000152,0.0003383183300000026
145,60,0.00012540374999999937,0.00020677291000000152,0.0003383183300000026
145,70,0.00012556667000000133,0.00020677291000000152,0.0003383183300000026
145,80,0.0001257799999999998,0.00020677291000000152,0.0003383183300000026
145,90,0.00012520540999999774,0.00020677291000000152,0.0003383183300000026
145,100,0.0001254816699999983,0.00020677291000000152,0.0003383183300000026
150,0,0.00013488750000000048,0.00021521916000000196,0.00033398750000000364
150,10,0.00013499458000000076,0.00021521916000000196,0.00033398750000000364
150,20,0.00013518208999999893,0.00021521916000000196,0.00033398750000000364
150,30,0.000134923330000003,0.00021521916000000196,0.00033398750000000364
150,40,0.00013420083000000192,0.00021521916000000196,0.00033398750000000364
150,50,0.00013610083000000105,0.00021521916000000196,0.00033398750000000364
150,60,0.00013504332999999757,0.00021521916000000196,0.00033398750000000364
150,70,0.00013397290999999978,0.00021521916000000196,0.00033398750000000364
150,80,0.0001379266599999962,0.00021521916000000196,0.00033398750000000364
150,90,0.00013429083999999758,0.00021521916000000196,0.00033398750000000364
150,100,0.00013437208000000034,0.00021521916000000196,0.00033398750000000364
155,0,0.00015489875000000098,0.00022331499999999948,0.0003742495899999998
155,10,0.00015478291999999617,0.00022331499999999948,0.0003742495899999998
155,20,0.0001549716599999984,0.00022331499999999948,0.0003742495899999998
155,30,0.0001541070900000019,0.00022331499999999948,0.0003742495899999998
155,40,0.00015412459000000212,0.00022331499999999948,0.0003742495899999998
155,50,0.00015462666999999986,0.00022331499999999948,0.0003742495899999998
155,60,0.00015459832999999978,0.00022331499999999948,0.0003742495899999998
155,70,0.00015386500000000414,0.00022331499999999948,0.0003742495899999998
155,80,0.0001573358299999983,0.00022331499999999948,0.0003742495899999998
155,90,0.0001570399999999994,0.00022331499999999948,0.0003742495899999998
155,100,0.0001556512500000018,0.00022331499999999948,0.0003742495899999998
160,0,0.00015454083000000286,0.0002332375000000031,0.00039218792000000224
160,10,0.0001546529200000002,0.0002332375000000031,0.00039218792000000224
160,20,0.00015587625000000217,0.0002332375000000031,0.00039218792000000224
160,30,0.00015526625000000126,0.0002332375000000031,0.00039218792000000224
160,40,0.0001580833299999984,0.0002332375000000031,0.00039218792000000224
160,50,0.00015515666999999845,0.0002332375000000031,0.00039218792000000224
160,60,0.00015567207999999777,0.0002332375000000031,0.00039218792000000224
160,70,0.00015453208999999913,0.0002332375000000031,0.00039218792000000224
160,80,0.0001545629199999965,0.0002332375000000031,0.00039218792000000224
160,90,0.00015476666999999722,0.0002332375000000031,0.00039218792000000224
160,100,0.00015516166999999915,0.0002332375000000031,0.00039218792000000224
165,0,0.00013109958999999894,0.00023854457999999745,0.0004102437499999967
165,10,0.000130659999999998,0.00023854457999999745,0.0004102437499999967
165,20,0.00013070207999999806,0.00023854457999999745,0.0004102437499999967
165,30,0.0001306800000000008,0.00023854457999999745,0.0004102437499999967
165,40,0.0001306325000000008,0.00023854457999999745,0.0004102437499999967
165,50,0.00013041625000000058,0.00023854457999999745,0.0004102437499999967
165,60,0.00013044708000000237,0.00023854457999999745,0.0004102437499999967
165,70,0.00013027957999999895,0.00023854457999999745,0.0004102437499999967
165,80,0.00013044832999999922,0.00023854457999999745,0.0004102437499999967
165,90,0.00013049708000000047,0.00023854457999999745,0.0004102437499999967
165,100,0.0001303129099999989,0.00023854457999999745,0.0004102437499999967
170,0,0.00013446165999999593,0.00024497290999999423,0.0004153291700000006
170,10,0.0001346070800000021,0.00024497290999999423,0.0004153291700000006
170,20,0.00013472457999999854,0.00024497290999999423,0.0004153291700000006
170,30,0.00013472541999999698,0.00024497290999999423,0.0004153291700000006
170,40,0.00013507291999999892,0.00024497290999999423,0.0004153291700000006
170,50,0.00013427791999999882,0.00024497290999999423,0.0004153291700000006
170,60,0.00013437708000000549,0.00024497290999999423,0.0004153291700000006
170,70,0.00013464625000000118,0.00024497290999999423,0.0004153291700000006
170,80,0.00013459375000000052,0.00024497290999999423,0.0004153291700000006
170,90,0.00013734499999999982,0.00024497290999999423,0.0004153291700000006
170,100,0.00013691749999999558,0.00024497290999999423,0.0004153291700000006
175,0,0.00015232874999999703,0.00026027041999999946,0.0005129629199999996
